Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Vendor
AMD Opteron 43GK HE,CPU,12/4/12,32,65,315,1200,2600,AMD
AMD Athlon X2 7450,CPU,12/15/08,65,95,285,450,2400,AMD
AMD Ryzen 5 1500X,CPU,4/11/17,14,65,192,4800,3500,AMD
AMD Athlon 64 X2 4400+,CPU,5/23/06,90,110,199,233,2200,AMD
AMD A4-4300M,CPU,5/15/12,32,35,246,1303,2500,AMD
Intel Core i5-670,CPU,1/7/10,32,73,81,382,3466,Intel
Intel Core 2 Duo U7600,CPU,4/27/07,65,10,111,293,1200,Intel
Intel Core i7-4760HQ,CPU,2/1/14,22,47,264,1400,2100,Intel
Intel Pentium D 940,CPU,1/16/06,65,130,140,376,3200,Intel
AMD Turion 64 MT-37,CPU,8/8/05,90,25,125,114,2000,AMD
Intel Core i5-4300M,CPU,9/1/13,22,37,118,1400,2600,Intel
Intel Core i7-3635QM,CPU,9/1/12,22,45,160,1480,2400,Intel
AMD Opteron 6376,CPU,11/5/12,32,115,315,2400,2300,AMD
AMD Opteron 244,CPU,8/5/03,130,82,193,106,1800,AMD
Intel Pentium 4 2.40,CPU,3/1/04,90,110,109,125,2400,Intel
Intel Xeon MP 3.00,CPU,3/29/05,90,135,,286,3000,Intel
Intel Xeon E5-2695 v2,CPU,9/1/13,22,115,160,1400,2400,Intel
Intel Pentium M 725,CPU,6/23/04,90,21,84,140,1600,Intel
AMD Sempron 2800+,CPU,7/15/05,90,25,,69,1600,AMD
AMD A4-3320M,CPU,12/20/11,32,35,228,1178,2000,AMD
Intel Mobile Pentium 4 2.80,CPU,6/11/03,130,68,131,55,2800,Intel
Intel Core i7-4960X,CPU,9/3/13,22,130,257,1860,3600,Intel
AMD Athlon II X2 250e,CPU,9/21/10,45,45,117,410,3000,AMD
AMD Athlon 64 X2 6000+,CPU,8/20/07,65,89,126,154,3100,AMD
AMD Athlon 64 LE-1620,CPU,10/8/07,90,45,230,227,2400,AMD
Intel Celeron 2.40,CPU,3/31/03,130,73,146,55,2400,Intel
AMD EPYC 7232P,CPU,8/7/19,7,120,74,3800,3100,AMD
Intel Atom CE4150,CPU,9/24/09,45,7,26,47,1200,Intel
AMD Athlon II X2 220,CPU,9/21/10,45,65,117,410,2800,AMD
AMD Opteron 4334,CPU,12/4/12,32,95,315,1200,3100,AMD
Intel Core 2 Quad Q9400,CPU,8/10/08,45,95,81,456,2666,Intel
Intel Xeon E7-8891 v3,CPU,6/1/15,22,165,160,1400,2800,Intel
Intel Pentium 967,CPU,10/2/11,32,17,131,504,1300,Intel
AMD Athlon 900,CPU,6/5/00,180,50,120,37,900,AMD
Intel Celeron G460,CPU,12/12/11,32,35,131,504,1800,Intel
AMD FX-6350,CPU,4/29/13,32,125,315,1200,3900,AMD
Intel Celeron G3900,CPU,9/1/15,14,51,150,1400,2800,Intel
Intel Pentium G850,CPU,5/22/11,32,65,131,504,2900,Intel
AMD EPYC 7742,CPU,8/7/19,7,225,74,3800,2250,AMD
Intel Core i7-4810MQ,CPU,1/20/14,22,47,177,1400,2800,Intel
Intel Core 2 Duo E8600,CPU,8/8/08,45,65,107,410,3333,Intel
AMD Phenom II X6 1090T BE,CPU,4/27/10,45,125,346,904,3200,AMD
Intel Xeon 7130M,CPU,8/27/06,65,150,435,1328,3200,Intel
Intel Core i3-4160T,CPU,7/21/14,22,35,177,1400,3100,Intel
AMD Sempron 130,CPU,8/1/11,45,45,117,234,2600,AMD
Intel Atom N470,CPU,3/1/10,45,7,66,123,1834,Intel
AMD Sempron 3100+,CPU,5/3/05,90,62,,63,1800,AMD
Intel Core Duo LV L2500,CPU,9/3/06,65,15,90,151,1833,Intel
AMD Sempron 2300+,CPU,7/28/04,130,62,80,37,1583,AMD
AMD A10-5700,CPU,10/2/12,32,65,246,1178,3400,AMD
AMD A4-1350,CPU,10/18/13,32,8,246,1178,1000,AMD
Intel Pentium III 1000,CPU,6/1/01,180,29,80,44,1000,Intel
Intel Atom Z530,CPU,4/2/08,45,2,26,47,1600,Intel
Intel Xeon W3580,CPU,8/9/09,45,130,263,731,3333,Intel
AMD Athlon 64 3800+,CPU,5/23/06,90,62,183,154,2400,AMD
AMD Opteron 250,CPU,12/1/04,90,85,,106,2400,AMD
AMD Athlon 64 X2 4600+ EE,CPU,5/23/06,90,65,220,154,2400,AMD
Intel Core i5-2435M,CPU,9/1/11,32,35,149,624,2400,Intel
AMD Athlon XP 2200+,CPU,9/1/03,130,63,,63,1800,AMD
AMD Athlon 1200,CPU,10/17/00,180,66,120,37,1200,AMD
Intel Pentium III  800,CPU,6/1/01,180,38,80,44,800,Intel
AMD Athlon XP-M 2200+,CPU,1/1/01,130,45,101,63,1667,AMD
Intel Pentium 4-M 1.40,CPU,4/23/02,130,21,131,55,1400,Intel
Intel Core i3-2377M,CPU,9/1/12,32,17,149,624,1500,Intel
Intel Atom D510,CPU,12/21/09,45,13,66,176,1667,Intel
Intel Core Duo T2250,CPU,5/1/06,65,31,90,151,1733,Intel
Intel Atom N455,CPU,6/1/10,45,7,66,123,1667,Intel
Intel Pentium D 840,CPU,5/26/05,90,130,206,169,3200,Intel
Intel Xeon E5-2609 v2,CPU,9/1/13,22,80,160,1400,2500,Intel
